elapsed_s,timestamp,event
116.15,2026-08-06T11:22:57,
117.24,2026-08-06T11:22:58,
118.58,2026-08-06T11:22:58,
119.68,2026-08-06T11:22:58,
120.78,2026-08-06T11:23:02,RECOVERED - fresh frame after being stale
121.87,2026-08-06T11:23:03,
122.93,2026-08-06T11:23:04,
124.02,2026-08-06T11:23:05,
125.07,2026-08-06T11:23:06,
126.12,2026-08-06T11:23:07,
127.18,2026-08-06T11:23:08,
128.23,2026-08-06T11:23:09,
129.28,2026-08-06T11:23:10,
130.34,2026-08-06T11:23:11,
131.4,2026-08-06T11:23:13,
132.46,2026-08-06T11:23:14,
133.57,2026-08-06T11:23:15,
134.64,2026-08-06T11:23:16,
135.75,2026-08-06T11:23:17,
136.79,2026-08-06T11:23:18,
137.85,2026-08-06T11:23:19,
138.9,2026-08-06T11:23:20,
139.95,2026-08-06T11:23:21,
141.0,2026-08-06T11:23:22,
142.05,2026-08-06T11:23:23,
143.09,2026-08-06T11:23:24,
144.15,2026-08-06T11:23:25,
145.2,2026-08-06T11:23:26,
146.25,2026-08-06T11:23:27,
147.3,2026-08-06T11:23:28,
148.35,2026-08-06T11:23:29,
149.41,2026-08-06T11:23:30,
150.46,2026-08-06T11:23:31,
151.51,2026-08-06T11:23:33,
152.57,2026-08-06T11:23:34,
153.65,2026-08-06T11:23:35,
154.72,2026-08-06T11:23:36,
155.77,2026-08-06T11:23:37,
156.83,2026-08-06T11:23:38,
157.88,2026-08-06T11:23:39,
158.93,2026-08-06T11:23:40,
159.99,2026-08-06T11:23:40,
161.04,2026-08-06T11:23:42,RECOVERED - fresh frame after being stale
162.09,2026-08-06T11:23:43,
163.14,2026-08-06T11:23:44,
164.22,2026-08-06T11:23:45,
165.27,2026-08-06T11:23:47,
166.32,2026-08-06T11:23:47,
167.38,2026-08-06T11:23:48,RECOVERED - fresh frame after being stale
168.44,2026-08-06T11:23:50,
169.5,2026-08-06T11:23:51,
170.55,2026-08-06T11:23:52,
171.61,2026-08-06T11:23:53,
172.66,2026-08-06T11:23:54,
173.72,2026-08-06T11:23:54,
174.77,2026-08-06T11:23:56,RECOVERED - fresh frame after being stale
175.82,2026-08-06T11:23:57,
176.88,2026-08-06T11:23:58,
177.93,2026-08-06T11:23:59,
178.99,2026-08-06T11:24:00,
