elapsed_s,event,topic,payload
313.21,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.3, ""timestamp"": ""2026-08-04T07:02:00Z"", ""student_id"": ""402101906""}"
315.23,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:02"", ""student_id"": ""402101906""}"
315.24,message,home/telemetry/402101906,"{""cpu_temp_c"": 43.5, ""timestamp"": ""2026-08-04T07:02:02Z"", ""student_id"": ""402101906""}"
317.2,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:04"", ""student_id"": ""402101906""}"
317.21,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.2, ""timestamp"": ""2026-08-04T07:02:04Z"", ""student_id"": ""402101906""}"
319.24,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:06"", ""student_id"": ""402101906""}"
319.26,message,home/telemetry/402101906,"{""cpu_temp_c"": 49.2, ""timestamp"": ""2026-08-04T07:02:06Z"", ""student_id"": ""402101906""}"
321.19,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:08"", ""student_id"": ""402101906""}"
321.19,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.4, ""timestamp"": ""2026-08-04T07:02:08Z"", ""student_id"": ""402101906""}"
323.24,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:10"", ""student_id"": ""402101906""}"
323.24,message,home/telemetry/402101906,"{""cpu_temp_c"": 49.0, ""timestamp"": ""2026-08-04T07:02:10Z"", ""student_id"": ""402101906""}"
325.18,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:12"", ""student_id"": ""402101906""}"
325.19,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.4, ""timestamp"": ""2026-08-04T07:02:12Z"", ""student_id"": ""402101906""}"
329.82,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:17"", ""student_id"": ""402101906""}"
329.83,message,home/telemetry/402101906,"{""cpu_temp_c"": 44.7, ""timestamp"": ""2026-08-04T07:02:17Z"", ""student_id"": ""402101906""}"
331.84,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:18"", ""student_id"": ""402101906""}"
331.85,message,home/telemetry/402101906,"{""cpu_temp_c"": 44.6, ""timestamp"": ""2026-08-04T07:02:19Z"", ""student_id"": ""402101906""}"
333.87,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:20"", ""student_id"": ""402101906""}"
333.87,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.4, ""timestamp"": ""2026-08-04T07:02:21Z"", ""student_id"": ""402101906""}"
335.83,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:02:23"", ""student_id"": ""402101906""}"
335.83,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.4, ""timestamp"": ""2026-08-04T07:02:23Z"", ""student_id"": ""402101906""}"
337.84,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:02:24"", ""student_id"": ""402101906""}"
337.85,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.1, ""timestamp"": ""2026-08-04T07:02:25Z"", ""student_id"": ""402101906""}"
339.84,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:27"", ""student_id"": ""402101906""}"
339.84,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.0, ""timestamp"": ""2026-08-04T07:02:27Z"", ""student_id"": ""402101906""}"
341.83,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:02:28"", ""student_id"": ""402101906""}"
